Grupo,Test,Res,VGRESULT,VGCUTIN,X6,Erro,Code,TEST.WORKED
GrupoA,kal00,31, 6144 0 0 17490 0 ,23634,NA,ERR_STRING_TO_X,31,TRUE
GrupoA,kal01,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal02,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal03,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal04,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal05,1,-1,-1,"syntax error, unexpected TOKEN_ERRO ",0,0,FALSE
GrupoA,kal06,10, 0 0 0 17018 0 ,17018,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal07,10, 0 0 0 17018 0 ,17018,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal08,10, 0 0 0 17004 0 ,17004,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal09,10, 0 0 0 17001 0 ,17001,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal10,1,-1,-1,"syntax error, unexpected TOKEN_ERRO ",ERR_UNDECLARED,10,FALSE
GrupoA,kal11,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal12,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal13,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal14,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal15,10, 0 0 0 16978 0 ,16978,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal16,10, 0 0 0 16978 0 ,16978,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal17,10, 0 0 0 16978 0 ,16978,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal18,10, 0 0 0 16978 0 ,16978,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal19,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal20,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal21,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal22,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal23,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal24,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal25,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal26,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal27,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal28,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal29,11, 16 0 0 16724 0 ,16740,NA,ERR_DECLARED,11,TRUE
GrupoA,kal30,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal31,11, 16 0 0 16914 0 ,16930,NA,ERR_DECLARED,11,TRUE
GrupoA,kal32,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal33,11, 16 0 0 17030 0 ,17046,NA,ERR_DECLARED,11,TRUE
GrupoA,kal34,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal35,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal36,11, 16 0 0 17098 0 ,17114,NA,ERR_DECLARED,11,TRUE
GrupoA,kal37,10, 0 0 0 17114 0 ,17114,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal38,10, 0 0 0 17114 0 ,17114,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal39,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal40,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal41,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal42,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal43,10, 0 0 0 16918 0 ,16918,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal44,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal45,10, 0 0 0 17074 0 ,17074,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal46,20, 8192 0 0 17118 0 ,25310,NA,ERR_VARIABLE,20,TRUE
GrupoA,kal47,20, 4096 0 0 16906 0 ,21002,NA,ERR_VARIABLE,20,TRUE
GrupoA,kal48,21, 8192 0 0 17102 0 ,25294,NA,ERR_VECTOR,21,TRUE
GrupoA,kal49,21, 4096 0 0 16906 0 ,21002,NA,ERR_VECTOR,21,TRUE
GrupoA,kal50,22, 10240 0 0 17272 0 ,27512,NA,ERR_FUNCTION,22,TRUE
GrupoA,kal51,22, 10240 0 0 17288 0 ,27528,NA,ERR_FUNCTION,22,TRUE
GrupoA,kal52,30, 8192 0 0 17384 0 ,25576,NA,ERR_STRING_TO_X,31,FALSE
GrupoA,kal53,30, 8192 0 0 17384 0 ,25576,NA,ERR_STRING_TO_X,31,FALSE
GrupoA,kal54,30, 8192 0 0 17370 0 ,25562,NA,ERR_STRING_TO_X,31,FALSE
GrupoA,kal55,30, 8192 0 0 17367 0 ,25559,NA,ERR_STRING_TO_X,31,FALSE
GrupoA,kal56,30, 8192 0 0 17358 0 ,25550,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,kal57,30, 8192 0 0 17358 0 ,25550,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,kal58,30, 8192 0 0 17344 0 ,25536,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,kal59,30, 8192 0 0 17367 0 ,25559,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,kal60,33, 14336 0 0 17495 0 ,31831,NA,ERR_STRING_SIZE,33,TRUE
GrupoA,kal61,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal62,41, 8192 0 0 17232 0 ,25424,NA,ERR_EXCESS_ARGS,41,TRUE
GrupoA,kal63,41, 12288 0 0 17472 0 ,29760,NA,ERR_EXCESS_ARGS,41,TRUE
GrupoA,kal64,40, 4096 0 0 17160 0 ,21256,NA,ERR_MISSING_ARGS,40,TRUE
GrupoA,kal65,40, 8192 0 0 17400 0 ,25592,NA,ERR_MISSING_ARGS,40,TRUE
GrupoA,kal66,42, 8192 0 0 17316 0 ,25508,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal67,42, 8192 0 0 17316 0 ,25508,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal68,42, 8192 0 0 17325 0 ,25517,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal69,42, 8192 0 0 17299 0 ,25491,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal70,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal71,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal72,42, 16384 0 0 17767 0 ,34151,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal73,30, 8192 0 0 17111 0 ,25303,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,kal74,30, 14336 0 0 17323 0 ,31659,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,kal75,50, 4096 0 0 16926 0 ,21022,NA,ERR_WRONG_PAR_INPUT,50,TRUE
GrupoA,kal76,50, 4096 0 0 16926 0 ,21022,NA,ERR_WRONG_PAR_INPUT,50,TRUE
GrupoA,kal77,0,no leaks are possible,0,NA,ERR_WRONG_PAR_INPUT,50,FALSE
GrupoA,kal78,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal79,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal80,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal81,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal82,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal83,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal84,51, 4096 0 0 17208 0 ,21304,NA,ERR_WRONG_PAR_OUTPUT,51,TRUE
GrupoA,kal85,51, 4096 0 0 17182 0 ,21278,NA,ERR_WRONG_PAR_OUTPUT,51,TRUE
GrupoA,kal86,0,no leaks are possible,0,NA,ERR_WRONG_PAR_OUTPUT,51,FALSE
GrupoA,kal87,52, 4096 0 0 17226 0 ,21322,NA,ERR_WRONG_PAR_RETURN,52,TRUE
GrupoA,kal88,52, 4096 0 0 17199 0 ,21295,NA,ERR_WRONG_PAR_RETURN,52,TRUE
GrupoA,kal89,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal90,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal91,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal92,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal93,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal94,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal95,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal96,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal97,53, 0 0 0 17085 0 ,17085,NA,ERR_WRONG_PAR_SHIFT,53,TRUE
GrupoA,kal98,53, 0 0 0 17085 0 ,17085,NA,ERR_WRONG_PAR_SHIFT,53,TRUE
GrupoA,kal99,0,no leaks are possible,0,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,mao01,30, 10240 0 0 17570 0 ,27810,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,mao02,30, 10240 0 0 17543 0 ,27783,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,mao03,30, 14336 0 0 17770 0 ,32106,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,mao04,30, 14336 0 0 17743 0 ,32079,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,mao05,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,mao06,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,mao07,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,mao08,31, 8192 0 0 17387 0 ,25579,NA,ERR_STRING_TO_X,31,TRUE
GrupoA,mao09,30, 8192 0 0 17267 0 ,25459,NA,ERR_WRONG_TYPE,30,TRUE
GrupoB,kal00,31, 2 0 0 17915 0 ,17917,NA,ERR_STRING_TO_X,31,TRUE
GrupoB,kal01,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal02,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal03,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal04,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
