GrupoA
GrupoA |DEBUG local.tests/e4/input/2020_1/kal00 31 " 6144 0 0 17490 0 " 23634 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal01 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal02 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal03 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal04 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal05 1 "-1" -1 "syntax error, unexpected TOKEN_ERRO "
GrupoA |DEBUG local.tests/e4/input/2020_1/kal06 10 " 0 0 0 17018 0 " 17018 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal07 10 " 0 0 0 17018 0 " 17018 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal08 10 " 0 0 0 17004 0 " 17004 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal09 10 " 0 0 0 17001 0 " 17001 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal10 1 "-1" -1 "syntax error, unexpected TOKEN_ERRO "
GrupoA |DEBUG local.tests/e4/input/2020_1/kal11 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal12 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal13 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal14 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal15 10 " 0 0 0 16978 0 " 16978 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal16 10 " 0 0 0 16978 0 " 16978 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal17 10 " 0 0 0 16978 0 " 16978 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal18 10 " 0 0 0 16978 0 " 16978 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal19 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal20 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal21 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal22 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal23 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal24 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal25 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal26 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal27 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal28 10 " 0 0 0 16822 0 " 16822 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal29 11 " 16 0 0 16724 0 " 16740 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal30 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal31 11 " 16 0 0 16914 0 " 16930 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal32 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal33 11 " 16 0 0 17030 0 " 17046 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal34 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal35 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal36 11 " 16 0 0 17098 0 " 17114 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal37 10 " 0 0 0 17114 0 " 17114 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal38 10 " 0 0 0 17114 0 " 17114 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal39 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal40 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal41 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal42 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal43 10 " 0 0 0 16918 0 " 16918 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal44 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal45 10 " 0 0 0 17074 0 " 17074 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal46 20 " 8192 0 0 17118 0 " 25310 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal47 20 " 4096 0 0 16906 0 " 21002 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal48 21 " 8192 0 0 17102 0 " 25294 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal49 21 " 4096 0 0 16906 0 " 21002 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal50 22 " 10240 0 0 17272 0 " 27512 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal51 22 " 10240 0 0 17288 0 " 27528 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal52 30 " 8192 0 0 17384 0 " 25576 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal53 30 " 8192 0 0 17384 0 " 25576 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal54 30 " 8192 0 0 17370 0 " 25562 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal55 30 " 8192 0 0 17367 0 " 25559 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal56 30 " 8192 0 0 17358 0 " 25550 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal57 30 " 8192 0 0 17358 0 " 25550 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal58 30 " 8192 0 0 17344 0 " 25536 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal59 30 " 8192 0 0 17367 0 " 25559 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal60 33 " 14336 0 0 17495 0 " 31831 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal61 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal62 41 " 8192 0 0 17232 0 " 25424 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal63 41 " 12288 0 0 17472 0 " 29760 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal64 40 " 4096 0 0 17160 0 " 21256 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal65 40 " 8192 0 0 17400 0 " 25592 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal66 42 " 8192 0 0 17316 0 " 25508 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal67 42 " 8192 0 0 17316 0 " 25508 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal68 42 " 8192 0 0 17325 0 " 25517 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal69 42 " 8192 0 0 17299 0 " 25491 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal70 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal71 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal72 42 " 16384 0 0 17767 0 " 34151 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal73 30 " 8192 0 0 17111 0 " 25303 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal74 30 " 14336 0 0 17323 0 " 31659 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal75 50 " 4096 0 0 16926 0 " 21022 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal76 50 " 4096 0 0 16926 0 " 21022 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal77 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal78 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal79 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal80 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal81 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal82 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal83 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal84 51 " 4096 0 0 17208 0 " 21304 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal85 51 " 4096 0 0 17182 0 " 21278 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal86 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal87 52 " 4096 0 0 17226 0 " 21322 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal88 52 " 4096 0 0 17199 0 " 21295 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal89 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal90 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal91 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal92 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal93 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal94 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal95 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal96 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal97 53 " 0 0 0 17085 0 " 17085 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal98 53 " 0 0 0 17085 0 " 17085 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/kal99 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao01 30 " 10240 0 0 17570 0 " 27810 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao02 30 " 10240 0 0 17543 0 " 27783 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao03 30 " 14336 0 0 17770 0 " 32106 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao04 30 " 14336 0 0 17743 0 " 32079 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao05 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao06 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao07 0 "no leaks are possible" 0 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao08 31 " 8192 0 0 17387 0 " 25579 ""
GrupoA |DEBUG local.tests/e4/input/2020_1/mao09 30 " 8192 0 0 17267 0 " 25459 ""
GrupoB
GrupoB |DEBUG local.tests/e4/input/2020_1/kal00 31 " 2 0 0 17915 0 " 17917 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal01 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal02 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal03 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal04 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal05 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal06 10 " 0 0 0 17346 0 " 17346 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal07 10 " 0 0 0 17346 0 " 17346 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal08 10 " 0 0 0 17346 0 " 17346 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal09 10 " 0 0 0 17346 0 " 17346 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal10 10 " 0 0 0 17347 0 " 17347 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal11 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal12 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal13 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal14 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal15 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal16 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal17 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal18 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal19 10 " 0 0 0 17184 0 " 17184 ""
